Port,Port Name,Port RegionId,Indicator,Indicator Name,Indicator unit,Scale,Units,2018,2019,2020,2021,2022
KN.A39,Victoria,-,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,7213
KN.A39,Victoria,-,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,0.95
KN.A40,Walvis Bay,-,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,3012166,3567174,3933647,4795631,5052014
KN.A40,Walvis Bay,-,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,256383
KN.A40,Walvis Bay,-,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,6.52
KN.A40,Walvis Bay,-,12376616,Container Traffic (TEUs),TEUs,units,TEUs,72219,117547,143806,194102,171480
KN.A40,Walvis Bay,-,12376716,"Container Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,-22622
KN.A40,Walvis Bay,-,12376816,"Container Traffic, Annual Growth (%)",%,units,%,,,,,-15.73
KN.A41,Total,-,12376316,Cargo Traffic (M.Tonnes),million tonnes,units,Million tonnes,238323053,249366012,257308788,262861079,266517378
KN.A41,Total,-,12376416,"Cargo Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,3656299
KN.A41,Total,-,12376516,"Cargo Traffic, Annual Growth (%)",%,units,%,,,,,1.42
KN.A41,Total,-,12376616,Container Traffic (TEUs),TEUs,units,TEUs,4848470,5481807,6154293,6650601,6500119
KN.A41,Total,-,12376716,"Container Traffic, Annual Growth (Volume)",volume,units,Volume,,,,,-150482
KN.A41,Total,-,12376816,"Container Traffic, Annual Growth (%)",%,units,%,,,,,-2.45
KN.A41,Total,-,12486616,Qwe,-,units,,1,1,1,1,1
,,,,,,,,,,,,
Source:,African Development Bank Group,,,,,,,,,,,
Download URL:,http://opendataforafrica.org/oaqvrhf/african-port-statistics-2013,,,,,,,,,,,
